wavelength,D50,D55,D65,D75
511,0.966865616,1.006572154,1.075624184,1.132842202
512,0.967546285,1.006066583,1.07289327,1.128154421
513,0.968152075,1.005416104,1.069870427,1.12303534
514,0.968564687,1.004539358,1.066552705,1.117556834
515,0.968751777,1.003432782,1.062997311,1.111833911
516,0.968742995,1.002124242,1.059228188,1.105886702
517,0.968470055,1.000540618,1.055162417,1.099623191
518,0.968390294,0.999183261,1.051391524,1.093719105
519,0.969201544,0.998812334,1.048803096,1.089180849
520,0.971322507,0.999883933,1.047929684,1.086612263
521,0.974637376,1.002280094,1.048650578,1.08589106
522,0.979119397,1.005984244,1.050973114,1.087048705
523,0.98449243,1.010674823,1.054478115,1.08957218
524,0.990296241,1.015815898,1.05846695,1.09260645
525,0.996168535,1.020995812,1.062423675,1.095536337
526,1.002130078,1.026242835,1.066393416,1.09842358
527,1.00824626,1.031618794,1.070427814,1.101308599
528,1.013931662,1.036544258,1.073978377,1.103682823
529,1.018354184,1.040203668,1.076292235,1.104868897
530,1.021014564,1.04210769,1.076917665,1.10446041
531,1.021965805,1.042302481,1.075882401,1.102465305
532,1.021117742,1.040694873,1.073087004,1.098778215
533,1.019006798,1.037821211,1.069054901,1.093902976
534,1.016527012,1.034575406,1.064658474,1.088679314
535,1.014288573,1.031568233,1.060494014,1.083680752
536,1.012213706,1.028722193,1.056485983,1.078834394
537,1.010306419,1.026040357,1.052637056,1.074143451
538,1.008767974,1.023730664,1.049152453,1.069800929
539,1.007810864,1.022015633,1.04625277,1.066012369
540,1.007562582,1.021028775,1.044070363,1.062901093
541,1.008046619,1.020793132,1.042627882,1.060489694
542,1.00929793,1.021345579,1.041962599,1.058813729
543,1.011130574,1.022492688,1.041882236,1.057691724
544,1.013234654,1.023912079,1.042066328,1.056821227
545,1.015369941,1.025355865,1.042269704,1.055970461
546,1.017551911,1.026840951,1.042509665,1.055155602
547,1.019819375,1.028404889,1.042821802,1.054410777
548,1.021815405,1.029696546,1.042869484,1.053414445
549,1.023035595,1.03022146,1.042179812,1.051714542
550,1.023177301,1.029682955,1.040469045,1.049039829
551,1.0222565,1.028096271,1.037752423,1.045406431
552,1.020188707,1.025379233,1.033953648,1.040744217
553,1.017345074,1.021895452,1.029417519,1.035378432
554,1.014344187,1.018250948,1.024718699,1.029851149
555,1.01158865,1.014841477,1.020234522,1.024519915
556,1.009016812,1.011607176,1.015909046,1.019332598
557,1.006658873,1.008575763,1.011765677,1.014309029
558,1.004458188,1.005705073,1.007784998,1.009446957
559,1.002267928,1.002871256,1.003880424,1.004688797
560,1,1,1,1
561,0.997743218,0.997176221,0.996221583,0.995452381
562,0.995584616,0.994486588,0.992630667,0.991130083
563,0.993436441,0.991833828,0.989115854,0.986911697
564,0.991152437,0.989055816,0.985491483,0.982594876
565,0.988672016,0.98608033,0.981668068,0.978077899
566,0.986023594,0.982936843,0.977676652,0.973392922
567,0.98315159,0.979570831,0.973464281,0.968488102
